Reference,DOI,Alginate (%w/v),PVA-HA (%w/v),CaSO4 (%w/v),Na2HPO4 (%w/v),Gelatin (%w/v),GelMA (%w/v),laponite (%w/v),graphene oxide (%w/v),hydroxyapatite (%w/v),Hyaluronic_Acid (%w/v),MeHA (%w/v),NorHA (%w/v),Fibroin/Fibrinogen (%w/v),Pluronic P-123 (%w/v),Collagen (%w/v),Chitosan (%w/v),CS-AEMA (%w/v),RGD (mM),TCP (%w/v),Gellan (%w/v),bioactive glass (%w/v),Nano/Methycellulose (%w/v),PEGTA (%w/v),PEGMA (%w/v),PEGDA (%w/v),Agarose (%w/v), hyaluronic acid+ Ph moieties (%w/v),matrigel (%w/v),CaCl2(mM),NaCl(mM),BaCl2(mM),SrCl2(mM),CaCO3 (mM),Genipin (%w/v),PVA (%wt),trans-glutaminase (%w/v),alginate lyase (U/ml),D-glucose (%w/v),PLGA (%w/v),vascular tissued-derived dECM (%w/v),PEG-8-SH (mM),Lutrol F127 (%w/v),Alginate dialdehyde (%w/v),Alginate sulfate (%w/v),RGD-modified alginate (%w/v),hyaluronan metacrylate (%w/v),poly(N-isopropylacrylamide) grafted hyaluronan (%w/v),chondroitin sulfate methacrylate (%w/v),PCL (%w/v),alginate metacrylate (%w/v),HRP (U/ml),pluronic F127 (%w/v),Irgacure 2959 (%w/v),Eosin Y (%w/v),Ruthenium (mM),sodium persulfate (SPS) (mM),HEPES (mM),LAP (%w/v),glutaraldehyde (%w/v),PBS  (M),Cell_Density_(cells/mL),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Nozzle_Diameter_(µm),chamber Temperature  (°C),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Printability,Cell Response,Scaffold Quality (P*C),total_solids_pct,n_components,ceramic_pct,ceramic_fraction,is_bone_relevant,has_cells
Shim et al. 2012,10.1088/0960-1317/22/8/085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,600.0,0,400.0,4.167,,1.667,200.0,,80.0,22.0,3,1,3,100.0,3,0.0,0.0,1,0
Shim et al. 2012,10.1088/0960-1317/22/8/085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,600.0,0,400.0,5.0,,1.667,200.0,,80.0,22.0,3,1,3,100.0,3,0.0,0.0,1,0
Shim et al. 2012,10.1088/0960-1317/22/8/085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,600.0,0,400.0,0.834,,1.667,150.0,,80.0,22.0,3,1,3,100.0,3,0.0,0.0,1,0
Shim et al. 2012,10.1088/0960-1317/22/8/085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,600.0,0,400.0,1.25,,1.667,150.0,,80.0,22.0,3,1,3,100.0,3,0.0,0.0,1,0
Shim et al. 2012,10.1088/0960-1317/22/8/085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,600.0,0,300.0,0.834,,1.667,200.0,,80.0,22.0,3,1,3,100.0,3,0.0,0.0,1,0
Shim et al. 2012,10.1088/0960-1317/22/8/085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,600.0,0,300.0,1.667,,1.667,200.0,,80.0,22.0,3,1,3,100.0,3,0.0,0.0,1,0
Shim et al. 2012,10.1088/0960-1317/22/8/085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,600.0,0,300.0,2.5,,1.667,200.0,,80.0,22.0,3,1,3,100.0,3,0.0,0.0,1,0
Shim et al. 2012,10.1088/0960-1317/22/8/085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,600.0,0,300.0,3.334,,1.667,200.0,,80.0,22.0,3,1,3,100.0,3,0.0,0.0,1,0
Shim et al. 2012,10.1088/0960-1317/22/8/085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,600.0,0,300.0,4.167,,1.667,200.0,,80.0,22.0,3,1,3,100.0,3,0.0,0.0,1,0
Shim et al. 2012,10.1088/0960-1317/22/8/085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,600.0,0,300.0,5.0,,1.667,200.0,,80.0,22.0,3,1,3,100.0,3,0.0,0.0,1,0
Shim et al. 2012,10.1088/0960-1317/22/8/085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,600.0,0,300.0,0.834,,1.667,150.0,,80.0,22.0,3,1,3,100.0,3,0.0,0.0,1,0
Shim et al. 2012,10.1088/0960-1317/22/8/085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,600.0,0,300.0,1.25,,1.667,150.0,,80.0,22.0,3,1,3,100.0,3,0.0,0.0,1,0
Yin et al. 2018,10.1021/acsami.7b16059,0.0,0.0,0.0,0.0,0.0,5.0,0.5,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.5,0.0,0.0,5000000.0,0.0,120,300.0,,,5.0,260.0,,20.0,15.0,3,5,15,6.0,3,0.0,0.0,1,1
